participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed
EX01,adult,149.6930233,4.939869767,-1,Left,-1
EX01,adult,150.6976744,4.973023256,-1,Left,-1
EX01,adult,151.7023256,5.006176744,-1,Left,-1
EX01,adult,152.7069767,5.039330233,-1,Left,-1
EX01,adult,153.7116279,5.072483721,-1,Left,-1
EX01,adult,154.7162791,5.105637209,-1,Left,-1
EX01,adult,155.7209302,5.138790698,-1,Left,-1
EX01,adult,156.7255814,5.171944186,-1,Left,-1
EX01,adult,157.7302326,5.205097674,-1,Left,-1
EX01,adult,158.7348837,5.238251163,-1,Left,-1
EX01,adult,159.7395349,5.271404651,-1,Left,-1
EX01,adult,160.744186,5.30455814,-1,Left,-1
EX01,adult,161.7488372,5.337711628,-1,Left,-1
EX01,adult,162.7534884,5.370865116,-1,Left,-1
EX01,adult,163.7581395,5.404018605,-1,Left,-1
EX01,adult,164.7627907,5.437172093,-1,Left,-1
EX01,adult,165.7674419,5.470325581,-0.977272727,Left,-1
EX01,adult,166.772093,5.50347907,-0.954545455,Left,-1
EX01,adult,167.7767442,5.536632558,-0.931818182,Left,-1
EX01,adult,168.7813953,5.569786047,-0.909090909,Left,-1
EX01,adult,169.7860465,5.602939535,-0.886363636,Left,-1
EX01,adult,170.7906977,5.636093023,-0.863636364,Left,-1
EX01,adult,171.7953488,5.669246512,-0.840909091,Left,-1
EX01,adult,172.8,5.7024,-0.818181818,Left,-1
EX01,adult,173.8046512,5.735553488,-0.795454545,Left,-1
EX01,adult,174.8093023,5.768706977,-0.772727273,Left,-1
EX01,adult,175.8139535,5.801860465,-0.75,Left,-1
EX01,adult,176.8186047,5.835013953,-0.727272727,Left,-1
EX01,adult,177.8232558,5.868167442,-0.704545455,Centre,0
EX01,adult,178.827907,5.90132093,-0.681818182,Centre,0
EX01,adult,179.8325581,5.934474419,-0.659090909,Centre,0
EX01,adult,180.8372093,5.967627907,-0.636363636,Centre,0
EX01,adult,181.8418605,6.000781395,-0.613636364,Centre,0
EX01,adult,182.8465116,6.033934884,-0.590909091,Centre,0
EX01,adult,183.8511628,6.067088372,-0.568181818,Centre,0
EX01,adult,184.855814,6.10024186,-0.545454545,Centre,0
EX01,adult,185.8604651,6.133395349,-0.522727273,Centre,0
